id,tags,feature,ngram,pelle,split,acc_lr,rec_lr,pr_lr,f1_lr,roc_auc_lr,acc_nb,rec_nb,pr_nb,f1_nb,roc_auc_nb,acc_svm,rec_svm,pr_svm,f1_svm,roc_auc_svm,acc_rf,rec_rf,pr_rf,f1_rf,roc_auc_rf,created,elapsed
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,1,0.75,0.57,0.6,0.59,0.7,0.58,0.58,0.39,0.47,0.58,0.72,0.54,0.55,0.55,0.67,0.75,0.59,0.6,0.6,0.71,2021-04-19,3174.9576604366302
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,2,0.75,0.57,0.61,0.59,0.7,0.58,0.6,0.4,0.48,0.59,0.72,0.53,0.56,0.55,0.67,0.75,0.58,0.62,0.6,0.71,2021-04-19,3195.1355814933777
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,3,0.73,0.51,0.59,0.54,0.67,0.57,0.56,0.38,0.45,0.57,0.71,0.48,0.54,0.51,0.64,0.73,0.52,0.59,0.55,0.68,2021-04-19,3215.3366622924805
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,4,0.74,0.57,0.59,0.58,0.69,0.56,0.55,0.37,0.44,0.56,0.72,0.53,0.55,0.54,0.67,0.74,0.57,0.6,0.58,0.7,2021-04-19,3235.4973995685577
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,5,0.73,0.53,0.58,0.56,0.68,0.56,0.58,0.37,0.45,0.56,0.73,0.55,0.57,0.56,0.68,0.75,0.59,0.6,0.59,0.7,2021-04-19,3255.4919579029083
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,6,0.73,0.52,0.59,0.55,0.68,0.55,0.52,0.36,0.42,0.54,0.72,0.51,0.55,0.53,0.66,0.73,0.52,0.58,0.55,0.67,2021-04-19,3275.584459066391
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,7,0.73,0.51,0.59,0.55,0.67,0.56,0.56,0.37,0.45,0.56,0.72,0.5,0.57,0.53,0.66,0.76,0.55,0.64,0.59,0.7,2021-04-19,3295.509510278702
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,8,0.74,0.55,0.6,0.57,0.69,0.57,0.56,0.38,0.45,0.57,0.73,0.53,0.57,0.55,0.67,0.74,0.55,0.59,0.57,0.69,2021-04-19,3315.788198709488
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,9,0.73,0.5,0.59,0.54,0.67,0.56,0.55,0.37,0.44,0.56,0.72,0.48,0.56,0.52,0.65,0.75,0.56,0.62,0.59,0.7,2021-04-19,3335.721120595932
EXP1,"[BOW][NG(1, 1)]",BOW,"(1, 1)",0,10,0.74,0.53,0.6,0.56,0.68,0.57,0.54,0.37,0.44,0.56,0.72,0.52,0.57,0.54,0.67,0.75,0.56,0.62,0.59,0.7,2021-04-19,3356.0050790309906
