tags,split,n_sample,feature,ngram,pelle,f1_mean_test_score,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,class_weight,created
"[BOW][NG(1, 1)]",1,0,BOW,"(1, 1)",0,0.49,1000,auto,,5,4,False,{1: 6},2021-04-19
"[BOW][NG(1, 1)]",1,1,BOW,"(1, 1)",0,0.17,1200,sqrt,40,5,2,False,{1: 1},2021-04-19
"[BOW][NG(1, 1)]",1,2,BOW,"(1, 1)",0,0.53,200,sqrt,50,10,2,True,balanced,2021-04-19
"[BOW][NG(1, 1)]",1,3,BOW,"(1, 1)",0,0.51,200,sqrt,60,10,4,True,{1: 2},2021-04-19
"[BOW][NG(1, 1)]",1,4,BOW,"(1, 1)",0,0.5,1200,sqrt,,2,4,False,{1: 4},2021-04-19
"[BOW][NG(1, 1)]",1,5,BOW,"(1, 1)",0,0.48,1000,auto,70,10,4,True,{1: 8},2021-04-19
"[BOW][NG(1, 1)]",1,6,BOW,"(1, 1)",0,0.48,1000,sqrt,30,2,2,True,{1: 8},2021-04-19
"[BOW][NG(1, 1)]",1,7,BOW,"(1, 1)",0,0.48,1800,sqrt,30,2,4,False,{1: 6},2021-04-19
"[BOW][NG(1, 1)]",1,8,BOW,"(1, 1)",0,0.54,1200,sqrt,110,10,2,True,{1: 2},2021-04-19
"[BOW][NG(1, 1)]",1,9,BOW,"(1, 1)",0,0.48,200,sqrt,100,10,1,False,{1: 1},2021-04-19
"[BOW][NG(1, 1)]",1,10,BOW,"(1, 1)",0,0.36,1400,sqrt,10,5,1,True,{1: 2},2021-04-19
"[BOW][NG(1, 1)]",1,11,BOW,"(1, 1)",0,0.48,600,auto,30,2,1,False,{1: 6},2021-04-19
"[BOW][NG(1, 1)]",1,12,BOW,"(1, 1)",0,0.55,800,auto,90,10,1,False,balanced,2021-04-19
"[BOW][NG(1, 1)]",1,13,BOW,"(1, 1)",0,0.48,800,auto,40,10,1,True,{1: 8},2021-04-19
"[BOW][NG(1, 1)]",1,14,BOW,"(1, 1)",0,0.39,800,auto,60,2,1,False,{1: 1},2021-04-19
"[BOW][NG(1, 1)]",1,15,BOW,"(1, 1)",0,0.52,600,auto,110,5,2,True,{1: 4},2021-04-19
"[BOW][NG(1, 1)]",1,16,BOW,"(1, 1)",0,0.54,1200,auto,100,2,4,True,balanced,2021-04-19
"[BOW][NG(1, 1)]",1,17,BOW,"(1, 1)",0,0.53,2000,auto,50,5,2,True,balanced,2021-04-19
"[BOW][NG(1, 1)]",1,18,BOW,"(1, 1)",0,0.49,800,sqrt,100,10,1,False,{1: 6},2021-04-19
"[BOW][NG(1, 1)]",1,19,BOW,"(1, 1)",0,0.01,800,sqrt,20,2,1,True,{1: 1},2021-04-19
"[BOW][NG(1, 1)]",1,20,BOW,"(1, 1)",0,0.47,400,sqrt,60,2,1,True,{1: 2},2021-04-19
