id,tags,feature,ngram,pelle,split,acc_lr,rec_lr,pr_lr,f1_lr,roc_auc_lr,acc_nb,rec_nb,pr_nb,f1_nb,roc_auc_nb,acc_svm,rec_svm,pr_svm,f1_svm,roc_auc_svm,acc_rf,rec_rf,pr_rf,f1_rf,roc_auc_rf,created,elapsed
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,1,0.74,0.6,0.59,0.59,0.7,0.59,0.56,0.39,0.46,0.58,0.73,0.65,0.56,0.6,0.71,0.73,0.58,0.57,0.57,0.69,2021-04-23,3398.5753016471863
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,2,0.74,0.59,0.6,0.59,0.7,0.58,0.58,0.39,0.47,0.58,0.73,0.6,0.57,0.59,0.7,0.74,0.58,0.59,0.59,0.7,2021-04-23,3405.241926908493
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,3,0.72,0.51,0.56,0.54,0.66,0.57,0.54,0.38,0.44,0.56,0.71,0.54,0.53,0.54,0.66,0.72,0.56,0.56,0.56,0.68,2021-04-23,3411.7949788570404
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,4,0.73,0.56,0.58,0.57,0.69,0.57,0.52,0.37,0.43,0.55,0.71,0.62,0.54,0.58,0.69,0.73,0.56,0.58,0.57,0.68,2021-04-23,3418.7284367084503
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,5,0.73,0.57,0.58,0.57,0.69,0.55,0.55,0.36,0.44,0.55,0.72,0.61,0.55,0.58,0.69,0.74,0.6,0.58,0.59,0.7,2021-04-23,3424.9871571063995
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,6,0.73,0.54,0.58,0.56,0.68,0.55,0.5,0.35,0.41,0.54,0.71,0.54,0.53,0.54,0.66,0.73,0.54,0.58,0.56,0.68,2021-04-23,3431.472812652588
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,7,0.75,0.53,0.61,0.57,0.69,0.57,0.55,0.37,0.45,0.56,0.71,0.57,0.54,0.56,0.67,0.75,0.55,0.61,0.58,0.69,2021-04-23,3437.7158119678497
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,8,0.73,0.56,0.57,0.57,0.68,0.57,0.54,0.37,0.44,0.56,0.71,0.58,0.53,0.56,0.67,0.73,0.56,0.58,0.57,0.69,2021-04-23,3444.3127887248993
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,9,0.73,0.53,0.58,0.55,0.67,0.56,0.53,0.37,0.43,0.55,0.72,0.57,0.55,0.56,0.68,0.74,0.56,0.59,0.57,0.69,2021-04-23,3450.6368339061737
EXP1,"[TFIDF][NG(1, 1)]",TFIDF,"(1, 1)",0,10,0.73,0.56,0.58,0.57,0.69,0.56,0.53,0.37,0.43,0.55,0.72,0.61,0.55,0.58,0.69,0.74,0.57,0.58,0.58,0.69,2021-04-23,3457.0737431049347
