id,tags,feature,ngram,pelle,split,acc_lr,rec_lr,pr_lr,f1_lr,roc_auc_lr,acc_nb,rec_nb,pr_nb,f1_nb,roc_auc_nb,acc_svm,rec_svm,pr_svm,f1_svm,roc_auc_svm,acc_rf,rec_rf,pr_rf,f1_rf,roc_auc_rf,created,elapsed
EXP61,[W2V],W2V,"(1, 1)",0,1,0.65,0.62,0.46,0.53,0.64,0.58,0.65,0.4,0.49,0.6,0.66,0.61,0.47,0.53,0.64,0.51,0.82,0.38,0.52,0.6,2021-04-20,3648.1758720874786
EXP61,[W2V],W2V,"(1, 1)",0,2,0.66,0.59,0.47,0.52,0.64,0.61,0.65,0.42,0.51,0.62,0.67,0.59,0.48,0.53,0.65,0.55,0.85,0.4,0.54,0.63,2021-04-20,3712.052782058716
EXP61,[W2V],W2V,"(1, 1)",0,3,0.64,0.59,0.44,0.51,0.62,0.65,0.61,0.46,0.52,0.64,0.64,0.58,0.44,0.5,0.62,0.54,0.84,0.4,0.54,0.62,2021-04-20,3775.141611099243
EXP61,[W2V],W2V,"(1, 1)",0,4,0.65,0.59,0.46,0.51,0.63,0.63,0.6,0.44,0.5,0.62,0.64,0.59,0.45,0.51,0.63,0.51,0.83,0.38,0.52,0.6,2021-04-20,3838.918749332428
EXP61,[W2V],W2V,"(1, 1)",0,5,0.65,0.61,0.46,0.53,0.64,0.62,0.57,0.42,0.48,0.6,0.66,0.58,0.46,0.52,0.64,0.52,0.83,0.38,0.52,0.61,2021-04-20,3902.2352101802826
EXP61,[W2V],W2V,"(1, 1)",0,6,0.66,0.59,0.47,0.52,0.64,0.61,0.66,0.42,0.52,0.62,0.65,0.56,0.46,0.5,0.63,0.5,0.84,0.37,0.51,0.59,2021-04-20,3966.8691852092743
EXP61,[W2V],W2V,"(1, 1)",0,7,0.66,0.61,0.47,0.53,0.64,0.67,0.59,0.48,0.53,0.65,0.65,0.59,0.46,0.52,0.64,0.54,0.82,0.39,0.53,0.61,2021-04-20,4029.9810497760773
EXP61,[W2V],W2V,"(1, 1)",0,8,0.65,0.57,0.46,0.51,0.63,0.58,0.61,0.4,0.48,0.59,0.65,0.55,0.45,0.5,0.62,0.52,0.82,0.38,0.52,0.6,2021-04-20,4092.934511899948
EXP61,[W2V],W2V,"(1, 1)",0,9,0.66,0.62,0.47,0.54,0.65,0.63,0.63,0.44,0.52,0.63,0.66,0.61,0.47,0.53,0.65,0.52,0.85,0.38,0.53,0.61,2021-04-20,4156.211136102676
EXP61,[W2V],W2V,"(1, 1)",0,10,0.65,0.57,0.46,0.51,0.63,0.64,0.62,0.44,0.52,0.63,0.65,0.55,0.45,0.5,0.62,0.53,0.84,0.39,0.53,0.61,2021-04-20,4218.925366640091
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,1,0.66,0.63,0.47,0.54,0.65,0.61,0.59,0.42,0.49,0.61,0.66,0.59,0.47,0.52,0.64,0.45,0.9,0.35,0.51,0.57,2021-04-20,4059.533943414688
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,2,0.65,0.6,0.46,0.52,0.64,0.65,0.56,0.45,0.5,0.62,0.66,0.6,0.46,0.52,0.64,0.46,0.91,0.36,0.52,0.58,2021-04-20,4130.328198671341
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,3,0.63,0.58,0.44,0.5,0.62,0.67,0.52,0.48,0.5,0.63,0.63,0.57,0.44,0.49,0.62,0.47,0.91,0.36,0.52,0.59,2021-04-20,4200.59942817688
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,4,0.65,0.58,0.46,0.51,0.63,0.67,0.53,0.48,0.5,0.63,0.64,0.58,0.45,0.51,0.63,0.46,0.89,0.36,0.51,0.57,2021-04-20,4271.301986217499
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,5,0.66,0.64,0.47,0.54,0.65,0.66,0.5,0.47,0.48,0.62,0.65,0.62,0.46,0.53,0.64,0.45,0.91,0.36,0.51,0.57,2021-04-20,4341.563009738922
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,6,0.67,0.59,0.48,0.53,0.65,0.65,0.62,0.46,0.53,0.64,0.67,0.56,0.48,0.52,0.64,0.44,0.91,0.35,0.51,0.57,2021-04-20,4412.465050697327
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,7,0.66,0.62,0.47,0.53,0.65,0.68,0.51,0.49,0.5,0.63,0.66,0.6,0.47,0.53,0.64,0.45,0.91,0.35,0.51,0.57,2021-04-20,4484.298021554947
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,8,0.64,0.56,0.44,0.49,0.62,0.63,0.53,0.42,0.47,0.6,0.64,0.54,0.45,0.49,0.62,0.45,0.91,0.35,0.51,0.57,2021-04-20,4554.511892080307
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,9,0.65,0.6,0.46,0.52,0.64,0.67,0.57,0.48,0.52,0.64,0.66,0.6,0.47,0.53,0.64,0.44,0.92,0.35,0.51,0.57,2021-04-20,4624.986030340195
EXP131,[W2V][PELLE],W2V,"(1, 1)",1,10,0.64,0.56,0.45,0.5,0.62,0.66,0.53,0.47,0.5,0.63,0.65,0.55,0.45,0.5,0.62,0.46,0.93,0.36,0.52,0.58,2021-04-20,4695.523051738739
